Cutthroat1	hachazo de Bartuc
Iratha's Coil	Serpentín de Iratha
Iratha's Cuff	Esposas de Iratha
Iratha's Collar	Collar de Iratha
Isenhart's Horns	Cuernos de Isenhart
Isenhart's Case	Estuche de Isenhart
Isenhart's Parry	Evasión de Isenhart
Isenhart's Lightbrand	Tizón de luz de Isenhart
Vidala's Snare	Trampa de Vidala
Vidala's Ambush	Emboscada de Vidala
Vidala's Fetlock	Espolón de Vidala
Vidala's Barb	Púa de Vidala
Milabrega's Robe	Toga de Milabrega
Milabrega's Diadem	Diadema de Milabrega
Milabrega's Rod	Vara de Milabrega
Milabrega's Orb	Orbe de Milabrega
Cathan's Seal	Sello de Cathan
Cathan's Sigil	Estigma de Cathan
Cathan's Visage	Semblante de Cathan
Cathan's Mesh	Redes de Cathan
Cathan's Rule	Mando de Cathan
Tancred's Crowbill	Pico de cuervo de Tancred
Tancred's Spine	Espina de Tancred
Tancred's Hobnails	Tachuelas de Tancred
Tancred's Weird	Misterio de Tancred
Tancred's Skull	Cráneo de Tancred
Sigon's Visor	Visor de Sigon
Sigon's Shelter	Refugio de Sigon
Sigon's Gage	Reto de Sigon
Sigon's Sabot	Zueco de Sigon
Sigon's Wrap	Manto de Sigon
Sigon's Guard	Guardia de Sigon
Infernal Cranium	Cráneo infernal
Infernal Torch	Antorcha infernal
Infernal Sign	Símbolo infernal
Berserker's Headgear	Casco del loco
Berserker's Hauberk	Cota de mallas del loco
Berserker's Hatchet	Hachuela del loco
Death's Hand	Mano de la muerte
Death's Guard	Guardián de la muerte
Death's Touch	Toque de la muerte
Angelic Sickle	Hoz angelical
Angelic Mantle	Manto angelical
Angelic Halo	Halo angelical
Angelic Wings	Alas angelicales
Arctic Horn	Cuerno ártico
Arctic Furs	Pieles árticas
Arctic Binding	Ribete ártico
Arctic Mitts	Guantes árticos
Arcanna's Sign	Símbolo de Arcanna
Arcanna's Deathwand	Vara de la muerte de Arcanna
Arcanna's Head	Cabeza de Arcanna
Arcanna's Flesh	Carne de Arcanna
skillxname0	 
skillxsd0	 
skillxld0	 
skillxan0	 
skillxname1	 
skillxsd1	 
skillxld1	 
skillxan1	 
skillxname2	 
skillxsd2	 
skillxld2	 
skillxan2	 
skillxname3	 
skillxsd3	 
skillxld3	 
skillxan3	 
skillxname4	 
skillxsd4	 
skillxld4	 
skillxan4	 
skillxname5	 
skillxsd5	 
skillxld5	 
skillxan5	 
skillxname6	 
skillxsd6	 
skillxld6	 
skillxan6	 
skillxname7	 
skillxsd7	 
skillxld7	or bolts with fire\nmagically enhances your arrows
skillxan7	 
skillxname8	 
skillxsd8	 
skillxld8	cold arrows only do half of their regular damage\nby adding Daño frío and a slowing effect\nmagically enhances your arrows or bolts
skillxan8	 
skillxname9	 
skillxsd9	 
skillxld9	 
skillxan9	 
skillxname10	 
skillxsd10	 
skillxld10	 
skillxan10	 
skillxname11	 
skillxsd11	 
skillxld11	cold arrows only do half of their regular damage\nby adding Daño frío and a slowing effect\nmagically enhances your arrows or bolts
skillxan11	 
skillxname12	 
skillxsd12	 
skillxld12	 
skillxan12	 
skillxname13	 
skillxsd13	 
skillxld13	 
skillxan13	 
skillxname14	 
skillxsd14	 
skillxld14	 
skillxan14	 
skillxname15	 
skillxsd15	 
skillxld15	 
skillxan15	 
skillxname16	 
skillxsd16	 
skillxld16	contact, damaging all nearby enemies\nenchants an arrow or bolt that explodes on
skillxan16	 
skillxname17	 
skillxsd17	 
skillxld17	 
skillxan17	 
skillxname18	 
skillxsd18	 
skillxld18	 
skillxan18	 
skillxname19	 
skillxsd19	 
skillxld19	 
skillxan19	 
skillxname20	 
skillxsd20	 
skillxld20	 
skillxan20	 
skillxname21	 
skillxsd21	 
skillxld21	to freeze your enemies\nmagically enhances your arrow or bolt
skillxan21	 
skillxname22	 
skillxsd22	 
skillxld22	 
skillxan22	 
skillxname23	 
skillxsd23	 
skillxld23	 
skillxan23	 
skillxname24	 
skillxsd24	 
skillxld24	 
skillxan24	 
skillxname25	 
skillxsd25	 
skillxld25	 
skillxan25	 
skillxname26	 
skillxsd26	 
skillxld26	 
skillxan26	 
skillxname27	 
skillxsd27	 
skillxld27	crea una pira al impactar\nprovocar graves daños por incendio y\\mejora flechas o pernos para
skillxan27	 
skillxname28	 
skillxsd28	 
skillxld28	 
skillxan28	 
skillxname29	 
skillxsd29	 
skillxld29	 
skillxan29	 
skillxname30	 
skillxsd30	 
skillxld30	 
skillxan30	 
skillxname31	 
skillxsd31	 
skillxld31	to freeze entire groups of monsters\nmagically enhances an arrow or bolt
skillxan31	 
skillxname32	 
skillxsd32	 
skillxld32	 
skillxan32	 
skillxname33	 
skillxsd33	 
skillxld33	 
skillxan33	 
skillxname34	 
skillxsd34	 
skillxld34	 
skillxan34	 
skillxname35	 
skillxsd35	 
skillxld35	 
skillxan35	 
skillxname36	 
skillxsd36	 
skillxld36	 
skillxan36	 
skillxname37	 
skillxsd37	 
skillxld37	 
skillxan37	 
skillxname38	 
skillxsd38	 
skillxld38	 
skillxan38	 
skillxname39	 
skillxsd39	 
skillxld39	 
skillxan39	 
skillxname40	 
skillxsd40	 
skillxld40	 
skillxan40	 
skillxname41	 
skillxsd41	 
skillxld41	 
skillxan41	 
skillxname42	 
skillxsd42	 
skillxld42	de todos los enemigos que se encuentren cerca\ncrea un campo eléctrico que reduce la vida
skillxan42	 
skillxname43	 
skillxsd43	 
skillxld43	 
skillxan43	 
skillxname44	 
skillxsd44	 
skillxld44	 
skillxan44	 
skillxname45	 
skillxsd45	 
skillxld45	 
skillxan45	 
skillxname46	 
skillxsd46	 
skillxld46	 
skillxan46	 
skillxname47	 
skillxsd47	 
skillxld47	 
skillxan47	 
skillxname48	 
skillxsd48	 
skillxld48	 
skillxan48	 
skillxname49	 
skillxsd49	 
skillxld49	 
skillxan49	 
skillxname50	 
skillxsd50	 
skillxld50	 
skillxan50	 
skillxname51	 
skillxsd51	 
skillxld51	 
skillxan51	 
skillxname52	 
skillxsd52	 
skillxld52	 
skillxan52	 
skillxname53	 
skillxsd53	 
skillxld53	 
skillxan53	 
skillxname54	 
skillxsd54	 
skillxld54	 
skillxan54	 
skillxname55	 
skillxsd55	 
skillxld55	 
skillxan55	 
skillxname56	 
skillxsd56	 
skillxld56	 
skillxan56	 
skillxname57	 
skillxsd57	 
skillxld57	 
skillxan57	 
skillxname58	 
skillxsd58	 
skillxld58	 
skillxan58	 
skillxname59	 
skillxsd59	 
skillxld59	 
skillxan59	 
skillxname60	 
skillxsd60	 
skillxld60	 
skillxan60	 
skillxsname61	 
skillxsd61	 
skillxld61	 
skillxan61	 
skillxname62	 
skillxsd62	 
skillxld62	 
skillxan62	 
skillxname63	 
skillxsd63	pasivo: aumenta el daño de rayos
skillxld63	pasivo: aumenta todo el daño causado por tus conjuros de rayos
skillxan63	 
skillxname64	 
skillxsd64	 
skillxld64	 
skillxan64	 
skillxname65	 
skillxsd65	 
skillxld65	 
skillxan65	 
skillxname66	 
skillxsd66	 
skillxld66	 
skillxan66	 
skillxname67	 
skillxsd67	 
skillxld67	 
skillxan67	 
skillxname68	 
skillxsd68	 
skillxld68	 
skillxan68	 
skillxname69	 
skillxsd69	 
skillxld69	 
skillxan69	 
skillxname70	 
skillxsd70	 
skillxld70	 
skillxan70	 
skillxname71	 
skillxsd71	 
skillxld71	 
skillxan71	 
skillxname72	 
skillxsd72	 
skillxld72	 
skillxan72	 
skillxname73	 
skillxsd73	 
skillxld73	 
skillxan73	 
skillxname74	 
skillxsd74	 
skillxld74	 
skillxan74	 
skillxname75	 
skillxsd75	 
skillxld75	 
skillxan75	 
skillxname76	 
skillxsd76	 
skillxld76	 
skillxan76	 
skillxname77	 
skillxsd77	 
skillxld77	 
skillxan77	 
skillxname78	 
skillxsd78	 
skillxld78	 
skillxan78	 
skillxname79	 
skillxsd79	 
skillxld79	 
skillxan79	 
skillxname80	 
skillxsd80	 
skillxld80	 
skillxan80	 
skillxname81	 
skillxsd81	 
skillxld81	 
skillxan81	 
skillxname82	 
skillxsd82	 
skillxld82	 
skillxan82	 
skillxname83	 
skillxsd83	 
skillxld83	 
skillxan83	 
skillxname84	 
skillxsd84	 
skillxld84	 
skillxan84	 
skillxname85	 
skillxsd85	 
skillxld85	 
skillxan85	 
skillxname86	 
skillxsd86	 
skillxld86	esta maldición no se puede anular con otra maldición\nobjetivo de todos los monstruos cercanos\nmaldice a un monstruo para que se convierta en el
skillxan86	 
skillxname87	 
skillxsd87	 
skillxld87	 
skillxan87	 
skillxname88	 
skillxsd88	 
skillxld88	 
skillxan88	 
skillxname89	 
skillxsd89	 
skillxld89	 
skillxan89	 
skillxname90	 
skillxsd90	 
skillxld90	 
skillxan90	 
skillxname91	 
skillxsd91	 
skillxld91	 
skillxan91	 
skillxname92	 
skillxsd92	 
skillxld92	 
skillxan92	 
skillxname93	 
skillxsd93	 
skillxld93	 
skillxan93	 
skillxname94	 
skillxsd94	 
skillxld94	 
skillxan94	 
skillxname95	 
skillxsd95	 
skillxld95	 
skillxan95	 
skillxname96	 
skillxsd96	 
skillxld96	 
skillxan96	 
skillxname97	 
skillxsd97	 
skillxld97	 
skillxan97	 
skillxname98	 
skillxsd98	 
skillxld98	 
skillxan98	 
skillxname99	 
skillxsd99	 
skillxld99	 
skillxan99	 
skillxname100	 
skillxsd100	 
skillxld100	 
skillxan100	 
skillxname101	 
skillxsd101	 
skillxld101	 
skillxan101	 
skillxname102	 
skillxsd102	 
skillxld102	 
skillxan102	 
skillxname103	 
skillxsd103	 
skillxld103	 
skillxan103	 
skillxname104	 
skillxsd104	 
skillxld104	 
skillxan104	 
skillxname105	 
skillxsd105	 
skillxld105	 
skillxan105	 
skillxname106	 
skillxsd106	 
skillxld106	 
skillxan106	 
skillxname107	 
skillxsd107	 
skillxld107	 
skillxan107	 
skillxname108	 
skillxsd108	 
skillxld108	 
skillxan108	 
skillxname109	 
skillxsd109	 
skillxld109	 
skillxan109	 
skillxname110	 
skillxsd110	 
skillxld110	 
skillxan110	 
skillxname111	 
skillxsd111	 
skillxld111	 
skillxan111	 
skillxname112	 
skillxsd112	 
skillxld112	 
skillxan112	 
skillxname113	 
skillxsd113	 
skillxld113	 
skillxan113	 
skillxname114	 
skillxsd114	 
skillxld114	 
skillxan114	 
skillxname115	 
skillxsd115	 
skillxld115	 
skillxan115	 
skillxname116	 
skillxsd116	 
skillxld116	 
skillxan116	 
skillxname117	 
skillxsd117	 
skillxld117	 
skillxan117	 
skillxname118	 
skillxsd118	 
skillxld118	añade daño de rayos a tu ataque\npara dañar a tus enemigos cercanos\ncuando está activa, el aura causa pulsaciones de electricidad
skillxan118	 
skillxname119	 
skillxsd119	 
skillxld119	 
skillxan119	 
skillxname120	 
skillxsd120	 
skillxld120	 
skillxan120	 
skillxname121	 
skillxsd121	 
skillxld121	 
skillxan121	 
skillxname122	 
skillxsd122	halo: aumenta la velocidad de ataque y el daño
skillxld122	y la puntuación de ataque a ti y a tus aliados\nsi está activado, el halo te aumenta el daño, la velocidad de ataque 
skillxan122	 
skillxname123	 
skillxsd123	aura: debilita a los enemigos
skillxld123	 
skillxan123	 
skillxname124	 
skillxsd124	 
skillxld124	la vida y el maná a ti\nlas almas de los enemigos muertos para entregar\ncuando está activa, el aura intenta redimir
skillxan124	 
skillxname125	 
skillxsd125	 
skillxld125	 
skillxan125	 
skillxname126	 
skillxsd126	 
skillxld126	 
skillxan126	 
skillxname127	 
skillxsd127	 
skillxld127	 
skillxan127	 
skillxname128	 
skillxsd128	 
skillxld128	 
skillxan128	 
skillxname129	 
skillxsd129	 
skillxld129	 
skillxan129	 
skillxname130	 
skillxsd130	 
skillxld130	 
skillxan130	 
skillxname131	 
skillxsd131	 
skillxld131	 
skillxan131	 
skillxname132	 
skillxsd132	 
skillxld132	 
skillxan132	 
skillxname133	 
skillxsd133	 
skillxld133	 
skillxan133	 
skillxname134	 
skillxsd134	 
skillxld134	 
skillxan134	 
skillxname135	 
skillxsd135	 
skillxld135	 
skillxan135	 
skillxname136	 
skillxsd136	 
skillxld136	 
skillxan136	 
skillxname137	 
skillxsd137	 
skillxld137	 
skillxan137	 
skillxname138	 
skillxsd138	 
skillxld138	 
skillxan138	 
skillxname139	 
skillxsd139	 
skillxld139	 
skillxan139	 
skillxname140	 
skillxsd140	 
skillxld140	 
skillxan140	 
skillxname141	 
skillxsd141	 
skillxld141	 
skillxan141	 
skillxname142	 
skillxsd142	 
skillxld142	 
skillxan142	 
skillxname143	 
skillxsd143	 
skillxld143	 
skillxan143	 
skillxname144	 
skillxsd144	 
skillxld144	 
skillxan144	 
skillxname145	 
skillxsd145	 
skillxld145	 
skillxan145	 
skillxname146	 
skillxsd146	 
skillxld146	 
skillxan146	 
skillxname147	 
skillxsd147	 
skillxld147	 
skillxan147	 
skillxname148	 
skillxsd148	 
skillxld148	 
skillxan148	 
skillxname149	 
skillxsd149	 
skillxld149	 
skillxan149	 
skillxname150	 
skillxsd150	 
skillxld150	 
skillxan150	 
skillxname151	 
skillxsd151	 
skillxld151	 
skillxan151	 
skillxname152	 
skillxsd152	 
skillxld152	 
skillxan152	 
skillxname153	 
skillxsd153	 
skillxld153	 
skillxan153	 
skillxname154	 
skillxsd154	 
skillxld154	 
skillxan154	 
skillxname155	 
skillxsd155	 
skillxld155	 
skillxan155	 
strHostileTimeout	Debes esperar unos segundos para declarar tu enemistad a ese jugador.
ShrId0	templo nulo
ShrId1	templo de recarga
ShrId2	templo de la salud
ShrId3	templo del maná
ShrId4	templo de intercambio de salud
ShrId5	templo de intercambio de maná
ShrId6	templo de la armadura
ShrId7	templo del combate
ShrId8	templo de resistencia al fuego
ShrId9	templo de resistencia al frío
ShrId10	templo de resistencia a los rayos
ShrId11	templo de resistencia al veneno
ShrId12	templo de la habilidad
ShrId13	templo de recarga de maná
ShrId14	templo de la resistencia
ShrId15	templo de la experiencia
ShrId16	templo de Enirhs
ShrId17	templo del portal
ShrId18	templo de la gema
ShrId19	templo del fuego
ShrId20	templo del monstruo
ShrId21	templo de la explosión
ShrId22	templo del veneno
x	CREAR NUEVO
CfgSkillPick	Barra Velocidad de Habilidad
x	Verificar contraseña
MercX101	Varaya
MercX102	Khan
MercX103	Klisk
MercX104	Bors
MercX105	Brom
MercX106	Wiglaf
MercX107	Hrothgar
MercX108	Scyld
MercX109	Healfdane
MercX110	Heorogar
MercX111	Halgaunt
MercX112	Hygelac
MercX113	Egtheow
MercX114	Bohdan
MercX115	Wulfgar
MercX116	Hild
MercX117	Heatholaf
MercX118	Weder
MercX119	Vikhyat
MercX120	Unferth
MercX121	Sigemund
MercX122	Heremod
MercX123	Hengest
MercX124	Folcwald
MercX125	Frisian
MercX126	Bashir
MercX127	Guthlaf
MercX128	Oslaf
MercX129	Yrmenlaf
MercX130	Garmund
MercX131	Lanth
MercX132	Eadgils
MercX133	Onela
MercX134	Damien
MercX135	Erfor
MercX136	Weohstan
MercX137	Wulf
MercX138	Bulwye
MercX139	Lief
MercX140	Magnus
MercX141	Klatu
MercX142	Drus
MercX143	Hoku
MercX144	Kord
MercX145	Uther
MercX146	Ip
MercX147	Ulf
MercX148	Tharr
MercX149	Kaelim
MercX150	Ulric
MercX151	Alaric
MercX152	Ethelred
MercX153	Caden
MercX154	Elgifu
MercX155	Tostig
MercX156	Alcuin
MercX157	Emund
MercX158	Sigurd
MercX159	Gorm
MercX160	Hollis
MercX161	Ragnar
MercX162	Torkel
MercX163	Wulfstan
MercX164	Alban
MercX165	Barloc
MercX166	Bill
MercX167	Theodoric
r16	ÿc;Runa Io
r16L	Io
r13	ÿc;Runa Shael
r13L	Shael
r31	ÿc;Runa Jah
r31L	Jah
DarkStalker	acechador de la oscuridad
VileArcher	arquero vil
Runeword22	Delirio
Whichwild String	cuerda salvaje
x	Esta aplicación se instaló utilizando una clave de CD de Lord of Destruction no autorizada para el uso en Battle.net.
x	La clave de CD de Lord of Destruction que estás utilizando ya no es válida para Battle.net. Ponte en contacto con el Servicio Técnico para más información.
x	Tu clave de CD de Lord of Destruction está siendo utilizada en este momento por:
x	La clave de CD de Lord of Destruction utilizada para instalar esta aplicación pertenece a otro producto. Vuelve a instalar esta aplicación utilizando la clave de CD correcta.
Playersubtitles29	Retirada!
AmaOnly	(Sólo Amazona)
SorOnly	(Sólo Hechicera)
NecOnly	(Sólo Nigromante)
PalOnly	(Sólo Paladín)
BarOnly	(Sólo Bárbaro)
DruOnly	(Sólo Druida)
AssOnly	(Sólo Asesina)
Chatcaps	CHAT
Newscaps	NOTICIAS
Laddercaps	CLASIFICACIÓN
LaddeCharacter	PERSONAJE DE CLASIFICACIÓN
x	Sólo se puede jugar con un personaje de clasificación con otros personajes de clasificación durante la temporada de clasificación en la que se creó. Cuando se termine la temporada de clasificación, el personaje de clasificación se convertirá en un personaje de no-clasificación. ¿Quieres continuar?
x	Imposible entrar en la partida. Un personaje de no-clasificación no podrá unirse a la partida creada por un personaje de clasificación.
x	Imposible entrar en la partida. Un personaje de clasificación no podrá unirse a una partida creada por un personaje de no-clasificación.
Sksyn	Sinergias
Damplev	% De Daño Físico por nivel
ElemDampLev	Daño elemental por nivel
Firedplev	Daño de fuego por nivel
Colddplev	Daño de frío por nivel
Ltngdplev	Daño de rayo por nivel
Poisdplev	% De Daño de veneno por nivel
Magdplev	Daño Mágico por nivel
Rangplev	Alcance por nivel
RateFireplev	Frecuencia de disparo por nivel
AttRateplev	Puntuación de Ataque por nivel
AttSpeedplev	Velocidad de ataque por nivel
Defplev	Defensa por nivel
Manacoredplev	Coste de maná por nivel
Missplev1	Misiles por nivel
Missplev2	+1 Misil por nivel
Missplev3	+1 Misil cada %d niveles
Boltplev1	Rayos por nivel
Boltplev2	+1 rayo por nivel
Boltplev3	+1 rayo por %d niveles
Shotplev1	Disparos por nivel
Shotplev2	+1 Disparo por nivel
Shotplev3	+1 Disparo por %d niveles
Hpplev	Vida por nivel
WRSpeedplev	Velocidad al andar / correr por nivel
Durateplev	Duración por nivel
CoLenplev	Duración del frío por nivel
FrezLenplev	Duración del congelamiento por nivel
PoisLenplev	Duración del veneno por nivel
Convphy2magplev	Convierte %d%% de Daño físico en Daño Mágico por nivel
Convphy2elemplev	Convierte %d%% de Daño físico en Daño Elemental por nivel
Convphy2magalt	Convierte %d%% de Daño físico en Daño Elemental
Convphy2elemalt	Convierte %d%% de Daño físico en Daño Mágico
Secplev1	Segundo por nivel
Secplev2	Segundos por nivel
Damabsplev	Daño Absorbido por nivel
WeapDamsk	Daño de Arma
Hbdplev	Daño de rayo sagrado por nivel
Healplev	Vida recuperada por nivel cada 2 segundos
Healplev2	Vida recuperada cada 2 segundos
FanYDam	Tu daño:
PartDam	Daño conjunto:
AFDImm	Daño de disparo medio por segundo
Cgslow	Hace a los enemigos más lentos:
Corexpdam	Daño de Explosión de Cadáver:
ModitemAura	Nivel %d del aura %s cuando estás equipado
Moditem2allattrib	a Todos los Atributos
Moditem2ExpG	a la Experiencia Obtenida
ModitemHPaK	Vida por cada muerte
ModitemRedVendP	Reduce todos los precios de los vendedores
ModitemSMRIP	Matar monstruos
ModitemAttratvsM	a la Puntuación de Ataque contra
Moditemdamvsm	al Daño contra
Moditemslayat	Matando:
Moditemreanimas	Reanimarse como:
Moditemenrescoldsk	a la Resistencia al Frío del Enemigo
Moditemenresfiresk	a la Resistencia al Fuego del Enemigo
Moditemenresltngsk	a la Resistencia al Rayo del Enemigo
Moditemenrespoissk	a la Resistencia al Veneno del Enemigo
ModitemdamFiresk	al Daño de Hechizo de Fuego
ModitemdamColdsk	al Daño de Hechizo de Frío
ModitemdamLtngsk	al Daño de Hechizo de Relámpago
ModitemdamPoissk	al Daño de Hechizo de Veneno
Moditemskondeath	%d%% de Probabilidad de Lanzar %d %s cuando mueres
ModitemskonLevel	%d%% de Probabilidad  de Lanzar %d %s cuando subes de nivel
ModitemskonKill	%d%% de Probabilidad  de Lanzar %d %s al Matar
Skillname224	Hombre lobo
Skillsd224	Transfórmate en un hombre lobo
Skillld224	Transfórmate en un hombre lobo
Skillan224	Hombre lobo
StrSkill43a	esqueleto mago
StrSkill44a	esqueletos magos
StrSklTabItem9	+%d para habilidades de invocación
SOJSold	%d Piedras de Jordan vendidas a los mercaderes
DiabloWalksEarth	Diablo camina sobre la Tierra
neg	[ms]el cráneo infernal
TrappDoor	trampilla
uhf	[ms]el mazo legendario
skillxld124P	la vida y el maná a ti\nlas almas de los enemigos muertos para entregar\ncuando está activa, el aura intenta redimir
7wa	[fs]el hacha de berserker
skillld42	de todos los enemigos que se encuentran cerca \n crea un campo eléctrico que reduce la vida
xhg	Guanteletes de guerra
Fiendra	Maligno
Wraithra	Espectro
Fiend	Maligno
Wraith	Espectro
D2bnetHelp10	ÿc3El texto azulÿc4 representa las acciones que ha realizado la gente en el canal de chat.
ItemStats1r	Opción de bloqueo:
x	El servidor está lleno
x	No se pueden crear nuevas partidas. Únete a otra partida o inténtalo más tarde.
merca239	Jarulf
StrSkill63Patch	dura
x	Estás en la cola para crear una partida. Intenta unirte a una partida para evitar esperar.
X	Cola de creación de partidas
x	Se han creado demasiadas partidas. Únete a alguna o espera tu turno en la cola de creación de partidas.
x	Tu lugar en la cola es:
x	Estás en la cola de creación de partidas.
9bl	[ms]Stilleto
eats and spits corpses	Come y escupe cadáveres
qstsa2q63f	Explora la cámara de Tal Rasha.
Shocking Hit	Golpe de conmoción
11032	Lluvia de rocas: enfriamiento reducido en 1.5 segundos
ModStrCuck1	unused
ModStr3u	El impacto hace que el monstruo huya
ModStr4c	Bonus a la Frecuencia Ataque
11036	Eviscerate: +2 Projectiles
ModStr6f	Posibilidad de reanimar al objetivo
ModStr6d	El impacto ciega al objetivo
x	Introducir dirección IP del anfitrión para unirse a partida
StrSkill61	Golpes múltiples
D2bnetHelp13c	/reply (responder)
